disease_name,primary_dosha,secondary_dosha,body_attributes_imbalance,tissues_affected,main_healing_herb,herb_preparation,herb_vehicle,herb_action,diet_to_favor,diet_to_avoid,lifestyle_modification,recommended_yoga_pose,recommended_breathing_exercise,meditation_focus
urinary tract obstruction,Vata,Kapha,Mutraghata,Mutravaha Srotas,Varuna,Kwatha,Water,Mutrala,"Barley, Watermelon",Astringent foods,Avoid holding urine,Bhujangasana,Ujjayi,Flow clearance
gastroduodenal ulcer,Pitta,Vata,Parinama Shoola,Annavaha Srotas,Shatavari,Grita,Milk,Pitta-shaman,"Bland, cooling food","Chili, Alcohol",Frequent small meals,Vajrasana,Sheetali,Mucosal healing
varicocele of the testicles,Vata,Kapha,Vridhi,Shukravaha Srotas,Kanchanar,Guggulu,Warm water,Lekhana,High fiber diet,Heavy lifting,Supportive underwear,Viparita Karani,Anulom Vilom,Venous health
benign vaginal discharge (leukorrhea),Kapha,Vata,Shweta Pradara,Artavavaha Srotas,Lodhra,Kwatha,Honey,Grahi,"Nutritious, dry food","Sweet, heavy food",Genital hygiene,Baddha Konasana,Anulom Vilom,Pelvic balance
oral thrush (yeast infection),Kapha,None,Mukha Paka,Mukhaprishta,Triphala,Gargle,Warm water,Kandughna,"Probiotics, Bitters","Sugar, Yeast",Oral hygiene,Simhasana,Ujjayi,Microbiome balance
prostatitis,Vata,Pitta,Vatashthila,Mutravaha Srotas,Gokshura,Vati,Warm water,Shothahara,Hydrating diet,"Spicy food, Alcohol",Bladder habits,Paschimottanasana,Anulom Vilom,Prostate health
sensorineural hearing loss,Vata,None,Badhirya,Majja Dhatu,Saraswata,Grita,Milk,Medhya,"Warm, oily foods",Loud noise,Karna Purana,Simhasana,Brahmari,Auditory nerve
conjunctivitis due to virus,Kapha,Pitta,Abhishyanda,Netra (Eyes),Haridra,Eye wash,Rose Water,Netrya,"Light, warm food",Rubbing eyes,Wash hands,Trataka,Anulom Vilom,Ocular immunity
flu,Vata,Kapha,Jwara,Rasa Dhatu,Laxmi Vilas Ras,Vati,Honey,Jwarahara,"Warm gruel, Soups","Dairy, Cold food",Total rest,Dhanurasana,Kapalbhati,Immune recovery
conduct disorder,Rajas,Tamas,Manovikara,Manovaha Srotas,Jatamansi,Churna,Milk,Manoprasadana,Sattvic diet,"Fast food, TV",Behavioral therapy,Tadasana,Bhramari,Self-control
gastritis,Pitta,None,Amlapitta,Annavaha Srotas,Avipattikara,Churna,Water,Pachana,"Cooling, alkaline food","Spicy, Sour food",Avoid skipping meals,Vajrasana,Sheetali,Digestive fire balance
chalazion,Kapha,None,Utsangini,Netra-vartma,Triphala,Grita/Lep,Honey or Warm water,Lekhana,Low fat diet,Touching eyes,Warm compress,Trataka,Anulom Vilom,Eyelid health
fracture of the leg,Vata,None,Asthibhanga,Asthi Dhatu,Hadjod,Churna/Capsule,Milk,Asthisandhanaka,"Protein, Calcium",Exertion,Immobilization,Shavasana,Anulom Vilom,Bone union
muscle spasm,Vata,None,Mamsagata Vata,Mamsa Dhatu,Dhanwantharam,Oil,Warm Milk,Vatashamana,"Warm, cooked food",Strenuous exercise,Magnesium rich food,Talasana,Bhramari,Muscle relaxation
tendinitis,Vata,Pitta,Snayu-shotha,Snayu,Shallaki,Vati,Warm water,Shothahara,Anti-inflammatory diet,Repetitive strain,Rest and ice,Sukshma Vyayama,Anulom Vilom,Tendon repair
rosacea,Pitta,Rakta,Rakta-pitta,Rakta Dhatu,Sariva,Phant,Water,Raktaprasadana,Cooling food,"Alcohol, Spicy food",Avoid sun/heat,Tadasana,Sheetali,Vascular calm
rheumatoid arthritis,Vata,Kapha,Amavata,Sandhi (Joints),Amritadi Guggulu,Vati,Warm water,Amapachana,"Light, warm food, Ginger","Curd, Cold food",Dry fomentation,Pavanamuktasana,Bhastrika,Toxin elimination
ear wax impaction,Kapha,None,Karnapratinaha,Karna (Ear),Apamarga,Taila,Instillation,Lekhana,Light foods,Cold drinks,Avoid ear buds,Simhasana,Brahmari,Ear canal clearance
laryngitis,Kapha,Pitta,Svarabheda,Kanthya,Yastimadhu,Churna,Honey,Kanthya,"Warm water, Turmeric","Shouting, Cold drinks",Voice rest,Simhasana,Ujjayi,Vocal cord healing
chronic pain disorder,Vata,None,Vatavyadhi,Majja Dhatu,Bala-Ashwagandha,Oil/Milk,Milk,Vedanasthapana,"Warm, grounding food",Irregular sleep,"Routine, Massage",Yoga Nidra,Brahmari,Pain threshold
corneal disorder,Pitta,Vata,Shukraroga,Netra (Eyes),Saptamrit Lauha,Vati,Honey/Ghee,Chakshushya,"Amla, Spinach",Rubbing eyes,Eye protection,Trataka,Anulom Vilom,Corneal integrity
skin disorder,Pitta,Kapha,Kushtha,Rakta Dhatu,Khadira,Arishta,Water,Kushthagna,Bitter vegetables,Fermented foods,Avoid soaps,Surya Namaskar,Bhastrika,Skin purification
mononeuritis,Vata,None,Ekanga Vata,Majja Dhatu,Maha Vatavidhwansan,Vati,Warm water,Vatashamana,"Warm, oily food",Cold wind,Physiotherapy,Tadasana,Anulom Vilom,Nerve stimulation
hemangioma,Pitta,Rakta,Raktarbuda,Rakta Dhatu,Manjistha,Kwatha,Water,Raktashodhaka,Cooling diet,Excessive salt,Check growth,Shavasana,Sheetali,Blood vessel health
ganglion cyst,Kapha,Vata,Granthi,Snayu,Kanchanar,Guggulu,Warm water,Lekhana,"Light, low fat diet",Repetitive motion,Wrist support,Sukshma Vyayama,Bhramari,Cyst reduction
diverticulosis,Vata,None,Vatanulomana,Purishavaha Srotas,Isabgol,Husk,Warm water,Anulomana,High fiber diet,Refined flour,Regular movement,Pavanamuktasana,Anulom Vilom,Bowel regularity
spondylolisthesis,Vata,None,Kati-shoola,Asthi Dhatu,Yogaraja Guggulu,Vati,Warm water,Sandhanaka,Anti-inflammatory diet,Heavy lifting,Core strengthening,Setu Bandhasana,Anulom Vilom,Spinal stability
diabetic ketoacidosis,Pitta,Vata,Prameha-Upadrava,Sarvadeha,Nisha-Amalaki,Churna,Water,Pramehagna,"Light, low carb","Sugar, Sweets",Emergency hospital care,Shavasana,Anulom Vilom,Metabolic balance
tooth disorder,Kapha,Vata,Danta Roga,Asthi Dhatu,Irimedadi,Taila,Oil pulling,Dantya,"Clove, Sesame",Sticky sweets,Brushing twice,Simhasana,Sheetali,Tooth enamel health
paroxysmal ventricular tachycardia,Vata,Pitta,"Chala, Tikshna",Hridaya,Arjuna,Ksheer-paka,Milk,Hridya,"Oats, Berries","Caffeine, Salt",Stress management,Shavasana,Bhramari,Heart rhythm balance
chronic otitis media,Kapha,Vata,Karna-srava,Karna (Ear),Guggulu,Vati,Warm water,Shothahara,"Warm, dry food",Cold dairy,Avoid ear moisture,Simhasana,Anulom Vilom,Hearing clarity
tooth abscess,Pitta,Kapha,Vidradhi,Danta-mamsa,Triphala,Gargle/Kwatha,Honey,Pachan/Shothahara,"Soft, cool food","Spicy, Hard food",Clove oil application,Simhasana,Sheetali,Gingival healing
insect bite,Pitta,None,Keeta-visha,Rakta Dhatu,Neem,Lep (Paste),Water,Vishagna,Cooling herbs,Pungent spices,Apply cold paste,Tadasana,Sheetali,Poison neutralization
sciatica,Vata,None,Gridhrasi,Majja Dhatu,Rasna-erandadi,Kwatha,Warm water,Vatashamana,"Warm, unctuous food","Dry, cold food",Avoid heavy lifting,Bhujangasana,Anulom Vilom,Nerve decompression
chronic glaucoma,Pitta,Vata,Adhimantha,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,"Amla, Spinach",Caffeine,Eye pressure monitoring,Trataka (Internal),Anulom Vilom,Ocular drainage
alcohol withdrawal,Vata,Pitta,Madatyaya,Manovaha Srotas,Brahmi,Grita,Milk,Medhya,Nutritious liquids,Alcohol,Hydration and rest,Shavasana,Brahmari,Mental stability
bipolar disorder,Vata,Pitta,Unmada,Manovaha Srotas,Ashwagandha,Arishta,Water,Manoprasadana,"Sattvic, fresh food",Stimulants,Strict routine,Padmasana,Anulom Vilom,Mood regulation
skin cancer,Vata,Pitta,Arbudha,Rakta Dhatu,Manjistha,Kwatha,Water,Raktashodhaka,Antioxidant diet,Processed food,Avoid UV exposure,Tadasana,Sheetali,Cellular integrity
hyperkalemia,Vata,Pitta,Muttra-dosha,Rakta Dhatu,Punarnava,Kwatha,Water,Mutrala,Low potassium diet,"Bananas, Potatoes",Monitor electrolytes,Shavasana,Anulom Vilom,Electrolyte balance
chronic sinusitis,Kapha,Vata,Peenasa,Nasa,Trikatu,Churna,Honey,Deepana,"Warm fluids, Garlic","Cold drinks, Curd",Steam and Nasya,Adho Mukha Svanasana,Kapalbhati,Sinus clearing
fibromyalgia,Vata,None,Mamsagata Vata,Mamsa Dhatu,Guggulu,Vati,Warm water,Vedanasthapana,Anti-inflammatory diet,Caffeine,Regular gentle walk,Vajrasana,Brahmari,Pain acceptance
transient ischemic attack,Vata,Pitta,Pakshaghata-purvaroopa,Majja Dhatu,Arjuna,Vati,Water,Hridya/Vatashamana,"Low salt, fiber",Saturated fats,Blood pressure control,Shavasana,Anulom Vilom,Brain circulation
labyrinthitis,Vata,None,Bhrama,Karna (Inner ear),Ashwagandha,Ksheerpaka,Milk,Balya,"Sweet, warm food",Loud noise,Avoid sudden movement,Tadasana,Bhramari,Inner ear balance
stroke,Vata,None,Pakshaghata,Majja Dhatu,Maha Vatavidhwansan,Vati,Warm water,Vatashamana,"Soft, warm food","Salt, Oil",Physiotherapy,Shavasana,Anulom Vilom,Neuro-regeneration
vaginal yeast infection,Kapha,Pitta,Kaphaja Yonivyapad,Artavavaha Srotas,Triphala,Wash,Water,Krimighna,"Yogurt, Bitters","Sweets, Yeast",Keep area dry,Baddha Konasana,Anulom Vilom,Microbial balance
cataract,Kapha,Vata,Linga-nasha,Netra (Eyes),Triphala,Grita,Honey/Milk,Chakshushya,"Amla, Ghee",Straining eyes,Regular eye checkup,Trataka,Sheetali,Lens clarity
post-traumatic stress disorder (ptsd),Vata,None,Manas-shoka,Manovaha Srotas,Jatamansi,Churna,Milk,Medhya,"Warm, grounding food","Alcohol, Drugs","Counseling, routine",Vrikshasana,Nadi Shodhana,Emotional safety
pleural effusion,Kapha,Vata,Dakodara (Lung context),Pranavaha Srotas,Punarnava,Kwatha,Water,Shothahara,"Warm, light food","Cold, heavy food",Avoid exertion,Matsyasana,Deep breathing,Fluid absorption
deviated nasal septum,Vata,Kapha,Nasa-avapitha,Nasa (Nose),Anu Taila,Nasya,Warm Milk or Sesame oil,Lekhana,Warm food,Cold allergens,Nasal hygiene,Adho Mukha Svanasana,Kapalbhati,Nasal symmetry
heart block,Vata,Kapha,Hrid-avarana,Hridaya,Arjuna,Arishta,Water,Hridya,Low cholesterol,Heavy fats,Regular walking,Shavasana,Brahmari,Conduction flow
oral mucosal lesion,Pitta,None,Mukhapaka,Mukha (Mouth),Yastimadhu,Ghanvati/Gargle,Honey,Ropana,Cooling food,"Spices, Tobacco",Oral hygiene,Simhasana,Sheetali,Mucosal repair
erectile dysfunction,Vata,None,Klaibya,Shukravaha Srotas,Ashwagandha,Churna/Leha,Milk,Vajikarana,"Nutritious, aphrodisiac","Alcohol, Smoking",Pelvic exercises,Paschimottanasana,Anulom Vilom,Vital energy
ankylosing spondylitis,Vata,Kapha,Asthi-sandhigata Vata,Asthi Dhatu,Shilajit,Vati/Liquid,Warm water,Sandhanaka,Anti-inflammatory diet,Sedentary life,Stretching routine,Bhujangasana,Anulom Vilom,Spine flexibility
ingrown toe nail,Pitta,Kapha,Kunakha,Mamsa Dhatu,Neem,Oil/Lep,Ghee or Cooling water,Ropana,Nutritious food,Tight footwear,Proper nail trimming,Tadasana,Anulom Vilom,Toe health
drug abuse (opioids),Vata,Tamas,Ojo-kshaya,Manovaha Srotas,Brahmi,Grita,Milk,Medhya,"Sattvic, fresh food",Drugs,De-addiction support,Padmasana,Bhastrika,Reclamation of self
intracerebral hemorrhage,Pitta,Vata,Raktaja Rogas,Majja Dhatu,Guduchi,Satva,Water,Raktapittahara,"Cooling, bland food","Spices, Alcohol",Absolute rest,Shavasana,Sheetali,Vessel stability
drug abuse,Vata,Rajas,Madatyaya,Manovaha Srotas,Ashwagandha,Arishta,Water,Medhya,"Nourishing, sattvic",Addictive agents,Rehabilitation,Vrikshasana,Anulom Vilom,Mental clarity
viral exanthem,Pitta,Kapha,Visarpa,Rakta Dhatu,Sariva,Phant,Water,Raktaprasadana,"Liquid, cooling diet",Fermented foods,Fever management,Shavasana,Sheetali,Skin eruption recovery
conductive hearing loss,Kapha,None,Badhirya,Karna (Ear),Apamarga,Taila,Ear drops,Lekhana,"Warm, light food","Sticky, cold food",Avoid ear blockages,Simhasana,Bhramari,Vibration flow
delirium,Vata,Pitta,Sannipataja Unmada,Manovaha Srotas,Vacha,Churna,Honey,Medhya,"Light, warm food",Sensory overload,Calm environment,Shavasana,Anulom Vilom,Cognitive grounding
parkinson disease,Vata,None,Kampa-vata,Majja Dhatu,Kapikachhu,Churna,Milk,Vatashamana,Nerve nourishing diet,"Cold, dry food",Balance exercises,Tadasana,Anulom Vilom,Motor coordination
callus,Vata,Kapha,Kadara,Mamsa Dhatu,Tankana,Lep,Lemon juice,Lekhana,Low fat diet,Poor footwear,Regular foot soak,Tadasana,Anulom Vilom,Softening tissue
social phobia,Vata,Rajas,Manas-bhaya,Manovaha Srotas,Saraswatarishta,Arishta,Water,Medhya,"Fresh, light food",Stimulants,Social exposure therapy,Padmasana,Brahmari,Social confidence
interstitial lung disease,Vata,Kapha,Shwasa,Pranavaha Srotas,Pushkarmoola,Churna,Honey,Shwasahara,Nerve/Lung nourishing,Pollutants,Oxygen therapy,Matsyasana,Deep breathing,Lung elasticity
epididymitis,Pitta,Kapha,Vridhi-shotha,Shukravaha Srotas,Punarnava,Kwatha,Water,Shothahara,Anti-inflammatory,Physical strain,Scrotal support,Viparita Karani,Anulom Vilom,Reproductive health
molluscum contagiosum,Kapha,Pitta,Charmakila,Rakta Dhatu,Neem,Oil/Lep,External,Krimighna,Anti-viral diet,Touching lesions,Personal hygiene,Surya Namaskar,Kapalbhati,Skin immunity
injury to the shoulder,Vata,None,Amsa-shoola,Snayu,Shallaki,Vati,Warm water,Vedanasthapana,Protein-rich diet,Sudden movements,Shoulder immobilization,Tadasana,Anulom Vilom,Joint healing
alcohol abuse,Pitta,Vata,Madatyaya,Yakrit (Liver),Bhunimba,Kwatha,Water,Yakrit-uttejaka,Bitter vegetables,Alcohol,Group support,Vajrasana,Sheetali,Liver detox
irritable bowel syndrome,Vata,Pitta,Grahani,Annavaha Srotas,Bilva,Churna,Buttermilk,Deepana/Pachana,"Probiotic, light food","Raw salad, Beans",Stress reduction,Pavanamuktasana,Anulom Vilom,Digestive rhythm
sialoadenitis,Kapha,Pitta,Mukha-shotha,Rasa Dhatu,Triphala,Gargle,Warm water,Mukhashodhaka,Hydrating liquids,"Sour, spicy food",Lemon juice stimulation,Simhasana,Ujjayi,Salivary flow
attention deficit hyperactivity disorder (adhd),Vata,Rajas,Chala-manas,Manovaha Srotas,Brahmi,Grita,Milk,Medhya,"Grounding, warm food",Sugary snacks,Structured routine,Vrikshasana,Nadi Shodhana,Attention focus
lymphedema,Kapha,None,Shlipada (contextual),Rasa Dhatu,Punarnava,Guggulu,Warm water,Shothahara,"Low salt, high fiber",Standing long hours,Compression therapy,Viparita Karani,Anulom Vilom,Lymphatic drainage
onychomycosis,Kapha,Vata,Kunakha,Rakta Dhatu,Neem,Oil,External,Krimighna,Low sugar diet,Moist footwear,Nail hygiene,Tadasana,Kapalbhati,Nail health
mitral valve disease,Vata,Kapha,Hridroga,Hridaya,Arjuna,Ksheer-paka,Milk,Hridya,Cardiovascular diet,Heavy salt,Cardiovascular checkups,Shavasana,Bhramari,Valve function
itching of unknown cause,Kapha,Pitta,Kandu,Rakta Dhatu,Haridra,Churna,Warm water,Kandughna,"Bitter, light food",Allergens,Aloe vera application,Tadasana,Sheetali,Skin sensation
hemiplegia,Vata,None,Pakshaghata,Majja Dhatu,Bala-Ashwagandha,Taila,Milk,Balya/Vatashamana,Nerve nourishing,Cold drinks,Regular massage,Shavasana,Anulom Vilom,Motor recovery
white blood cell disease,Pitta,Rakta,Raktaja-vyadhi,Rakta Dhatu,Guduchi,Satva,Water,Raktashodhaka,Immune boosting,Junk food,Avoid infections,Vrikshasana,Anulom Vilom,Immune balance
adjustment reaction,Vata,None,Manas-shoka,Manovaha Srotas,Ashwagandha,Churna,Warm Milk,Medhya,"Comforting, warm food",Loneliness,Social support,Shavasana,Nadi Shodhana,Adaptability
breast infection (mastitis),Pitta,Kapha,Stana-vidradhi,Mamsa Dhatu,Kanchanar,Guggulu,Warm water,Shothahara,Anti-inflammatory,Poor latching,Warm compress,Tadasana,Anulom Vilom,Lactation health
corneal abrasion,Pitta,Vata,Netra-kshata,Netra (Eyes),Triphala,Grita,Honey/Milk,Ropana,Cooling food,Eye rubbing,Eye patch,Trataka,Anulom Vilom,Tissue regeneration
dysthymic disorder,Kapha,Vata,Alpa-sattva,Manovaha Srotas,Ashwagandha,Arishta,Water,Manoprasadana,Nutritious fresh food,Processed food,Regular exercise,Vrikshasana,Bhramari,Emotional steadying
ovarian cyst,Kapha,Vata,Granthi,Artavavaha Srotas,Kanchanar,Guggulu,Warm water,Lekhana,"Low fat, high fiber",Fried foods,Maintain weight,Baddha Konasana,Ujjayi,Ovarian health
glaucoma,Pitta,Vata,Adhimantha,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,"Amla, Spinach",Caffeine,Eye pressure monitoring,Trataka,Anulom Vilom,Intraocular balance
pulmonary congestion,Kapha,Vata,Srotorodha,Pranavaha Srotas,Pushkarmoola,Churna,Honey,Shwasahara,Warm liquids,Cold food,Steam inhalation,Dhanurasana,Kapalbhati,Lung clearance
acne,Pitta,Kapha,Yuvana-pidaka,Rakta Dhatu,Sariva,Phant,Water,Raktashodhaka,Bitter vegetables,"Oily, spicy food",Face hygiene,Surya Namaskar,Sheetali,Skin purification
iridocyclitis,Pitta,None,Netra-daha,Netra (Eyes),Triphala,Grita,Honey,Daha-prashamana,Cooling diet,Direct light,Rest eyes,Trataka,Sheetali,Iris recovery
urge incontinence,Vata,None,Mutra-atpravritti,Mutravaha Srotas,Gokshura,Vati,Water,Vatashamana,Hydrating diet,"Caffeine, Alcohol",Bladder training,Mula Bandha,Anulom Vilom,Sphincter control
hyponatremia,Vata,Kapha,Dhatukshaya,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,Salt-balanced diet,Excessive water intake,Monitor fluids,Tadasana,Anulom Vilom,Sodium balance
eating disorder,Vata,Rajas,Mano-vikara,Annavaha Srotas,Brahmi,Grita,Milk,Medhya,"Warm, small meals",Binge eating,Therapy,Padmasana,Brahmari,Body positivity
postpartum depression,Vata,Kapha,Sutika-vada,Manovaha Srotas,Ashwagandha,Ksheerpaka,Milk,Balya,"Nourishing, warm food",Isolation,Family support,Balasana,Nadi Shodhana,Motherhood calm
idiopathic absence of menstruation,Vata,Kapha,Anartava,Artava Dhatu,Kumari Asava,Arishta,Water,Artavapravartini,Iron rich food,Cold food,Stress management,Baddha Konasana,Anulom Vilom,Cycle restoration
hypokalemia,Vata,None,Dhatukshaya,Rasa Dhatu,Amalaki,Churna,Water,Balya,Potassium-rich food (Banana),Excessive salt,Electrolyte check,Shavasana,Anulom Vilom,Potassium balance
yeast infection,Kapha,Pitta,Krimija,Rakta Dhatu,Neem,Varti/Wash,Water,Krimighna,"Probiotics, Bitters","Sweets, Yeast",Dry hygiene,Baddha Konasana,Kapalbhati,Yeast control
diabetic retinopathy,Pitta,Vata,Prameha-Netraroga,Netra (Eyes),Saptamrit Lauha,Vati,Honey/Ghee,Chakshushya,Low glycemic diet,Sugary foods,Blood sugar control,Trataka,Sheetali,Retinal health
envenomation from spider or animal bite,Pitta,Rakta,Visha,Rakta Dhatu,Bilvadi,Vati,Water,Vishagna,Cooling fluids,Spicy food,Apply cold paste,Shavasana,Sheetali,Antidote action
injury to the face,Pitta,Vata,Abhighata,Twak/Mamsa,Haridra,Lep,Ghee or Cooling water,Ropana,Nutritious soft food,Hard food,Local care,Shavasana,Anulom Vilom,Facial healing
bladder disorder,Vata,Pitta,Mutrashaya Roga,Mutravaha Srotas,Punarnava,Kwatha,Water,Mutrala,Hydrating foods,Caffeine,Avoid suppression,Bhujangasana,Anulom Vilom,Bladder tone
food allergy,Pitta,Kapha,Asatmya,Annavaha Srotas,Haridra Khanda,Granules,Warm Water,Vishagna,Bland diet,Allergenic food,Identify triggers,Vajrasana,Bhastrika,Immune tolerance
balanitis,Pitta,Kapha,Shishnapaka,Mamsa Dhatu,Neem,Kwatha Wash,Water,Shothahara,Anti-inflammatory diet,Irritants,Local hygiene,Tadasana,Sheetali,Tissue health
obsessive compulsive disorder (ocd),Vata,Rajas,Atichintana,Manovaha Srotas,Brahmi,Vati,Milk,Medhya,"Sattvic, grounding food",Stimulants,CBT/Yoga,Padmasana,Anulom Vilom,Mental flexibility
viral warts,Kapha,Vata,Charmakila,Mamsa Dhatu,Tankana,Lep,Honey or Warm water,Lekhana,Low sugar diet,Touching warts,Keep area clean,Surya Namaskar,Kapalbhati,Viral clearance
eye alignment disorder,Vata,None,Drishti-dosha,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,Eye-strengthening foods,Excessive screen time,Eye exercises,Trataka,Anulom Vilom,Ocular coordination
urethritis,Pitta,Vata,Mutrakrichra,Mutravaha Srotas,Gokshura,Kwatha,Water,Shothahara,Hydrating diet,Spicy food,High water intake,Bhujangasana,Sheetali,Urethral cooling
lymphadenitis,Kapha,Pitta,Granthi-shotha,Rasa Dhatu,Kanchanar,Guggulu,Warm water,Shothahara,"Light, warm food","Heavy, cold food",Warm compress,Tadasana,Anulom Vilom,Lymphatic flow
autism,Vata,Kapha,Unmada (contextual),Manovaha Srotas,Saraswata Ghrita,Grita,Milk,Medhya,"Fresh, nutrient dense food","Additives, Sugar",Sensory therapy,Vrikshasana,Nadi Shodhana,Neurological growth
diabetic peripheral neuropathy,Vata,None,Suptata,Majja Dhatu,Ashwagandha,Taila,Warm Milk,Vatashamana,"Low carb, nutrient rich",Sugar,Foot care,Tadasana,Anulom Vilom,Nerve sensation
spondylitis,Vata,Kapha,Greeva-stambha,Asthi Dhatu,Yogaraja Guggulu,Vati,Warm water,Vedanasthapana,Anti-inflammatory diet,Poor posture,Regular stretching,Marjariasana,Anulom Vilom,Spine health
thrombophlebitis,Rakta,Vata,Siragranthi,Rakta Dhatu,Guggulu,Vati,Warm water,Lekhana,"Low fat, high fiber",Standing for long,Elevation of legs,Viparita Karani,Sheetali,Venous flow
acute respiratory distress syndrome (ards),Vata,Kapha,Pranavaha Srotodhara,Pranavaha Srotas,Vasa,Swarasa,Honey,Shwasahara,Light fluids,Solid food,Oxygen support,Shavasana,Ujjayi,Lung aeration
aortic valve disease,Vata,Kapha,Hridroga,Hridaya,Arjuna,Ksheer-paka,Milk,Hridya,Low sodium diet,Caffeine,Regular checkups,Shavasana,Bhramari,Valve integrity
uterine fibroids,Kapha,Vata,Granthi,Artavavaha Srotas,Kanchanar Guggulu,Vati,Warm water,Lekhana,"Low fat, anti-inflammatory",Estrogenic foods,Weight control,Baddha Konasana,Kapalbhati,Uterine tone
herpangina,Pitta,Kapha,Mukha-paka,Rasa Dhatu,Yastimadhu,Churna,Honey,Ropana,"Soft, cool food","Citrus, Spices",Gargling,Simhasana,Sheetali,Pharyngeal relief
joint effusion,Kapha,Vata,Sandhi-shotha,Sandhi (Joints),Punarnava,Kwatha,Water,Shothahara,Low salt diet,Heavy exercise,Rest and wrap,Sukshma Vyayama,Anulom Vilom,Fluid balance
ileus,Vata,None,Anaha,Annavaha Srotas,Hingwashtak,Churna,Warm water,Vatanulomana,Liquids initially,Solid food,Movement,Pavanamuktasana,Anulom Vilom,Gut motility
fracture of the facial bones,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,"Liquid, soft diet",Hard food,Avoid pressure,Shavasana,Anulom Vilom,Facial structure
gastroesophageal reflux disease (gerd),Pitta,Vata,Amlapitta,Annavaha Srotas,Avipattikara,Churna,Water,Pachana,"Alkaline, bland food","Spicy, Caffeine",Elevated sleep head,Vajrasana,Sheetali,Esophageal calm
myopia,Vata,None,Drishti-dosha,Netra (Eyes),Triphala,Grita,Milk,Chakshushya,"Amla, Vitamin A food",Screen time,Palming,Trataka,Anulom Vilom,Visual acuity
indigestion,Kapha,Vata,Ajirna,Annavaha Srotas,Trikatu,Churna,Honey,Deepana/Pachana,"Ginger tea, Warm food","Heavy, oily food",Don't overeat,Vajrasana,Bhastrika,Digestive fire
dermatitis due to sun exposure,Pitta,None,Surya-tapita Twak,Rakta Dhatu,Aloe Vera,Gel/Juice,Water,Daha-prashamana,Cooling food,Sun exposure,Use protection,Tadasana,Sheetali,Skin cooling
pulmonary hypertension,Vata,Kapha,Hrid-Pranavaha,Pranavaha Srotas,Arjuna,Vati,Water,Hridya,Low sodium diet,High altitude,Oxygen care,Shavasana,Anulom Vilom,Pulmonary flow
tonsillitis,Kapha,Pitta,Tundikeri,Rasa Dhatu,Haridra,Gargle,Honey,Shothahara,Warm liquids,Cold food,Warm salt gargle,Simhasana,Ujjayi,Throat health
intestinal obstruction,Vata,Kapha,Srotorodha,Annavaha Srotas,Triphala,Kwatha,Warm water,Anulomana,NPO / Liquids,Solid food,Medical monitoring,Pavanamuktasana,Anulom Vilom,Blockage release
benign paroxysmal positional vertical (bppv),Vata,None,Bhrama,Majja Dhatu,Ashwagandha,Ksheerpaka,Milk,Vatashamana,Steadying food,Sudden head turn,Epley maneuver,Tadasana,Brahmari,Equilibrium
choledocholithiasis,Pitta,Kapha,Pittashmari,Yakrit-Pleeha,Katuki,Churna,Water,Pittasarak,"Low fat, fibrous",Fatty foods,Maintain weight,Bhujangasana,Sheetali,Duct clearance
teething syndrome,Kapha,Vata,Dantodbhava,Asthi Dhatu,Amalaki,Churna/Honey,Honey,Balya,"Soft, cool food",Hard food,Gum massage,Shavasana (Baby),Natural breath,Eruption ease
pelvic organ prolapse,Vata,None,Yonivyapad,Mamsa Dhatu,Ashwagandha,Churna,Milk,Balya,High fiber diet,Heavy lifting,Kegel exercises,Viparita Karani,Mula Bandha,Pelvic floor tone
atrophic skin condition,Vata,None,Twak-kshaya,Twak (Skin),Shatavari,Ghrita,Milk,Rasayana,"Hydrating, oily food",Dry food,Oil massage,Tadasana,Anulom Vilom,Skin nourishment
paronychia,Pitta,Kapha,Kunakha-shotha,Mamsa Dhatu,Neem,Oil/Lep,Ghee or Cooling water,Ropana,Anti-inflammatory,Biting nails,Keep area dry,Tadasana,Anulom Vilom,Nail bed health
fracture of the arm,Vata,None,Asthibhanga,Asthi Dhatu,Hadjod,Churna,Milk,Sandhanaka,"Calcium, protein",Exertion,Sling/Cast,Shavasana,Anulom Vilom,Bone union
oppositional disorder,Vata,Rajas,Manasika-Dosha,Manovaha Srotas,Brahmi,Vati,Milk,Medhya,"Sattvic, fresh food",Stimulants,Behavioral therapy,Padmasana,Anulom Vilom,Self-regulation
hypovolemia,Vata,None,Dhatu-kshaya,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,Hydrating liquids,Dehydration,Fluid intake monitoring,Tadasana,Anulom Vilom,Volume restoration
abdominal hernia,Vata,None,Antra-vriddhi,Mamsa Dhatu,Triphala,Churna,Warm water,Anulomana,High fiber diet,Straining,Supportive belt,Shavasana,Nadi Shodhana,Abdominal integrity
inguinal hernia,Vata,None,Antra-vriddhi,Mamsa Dhatu,Sukumar Ghrita,Ghrita,Warm water,Vatashamana,Non-constipating food,Heavy lifting,Abdominal support,Shavasana,Anulom Vilom,Hernia management
